Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
John Axford,SEA,HS,RP,R,20,2003,0,0,0
Mike Fetters,MIN,MLB,RP,R,38,2003,0,1276.3,698
Tony Womack,CHC,MLB,IF,R,33,2003,4764,0,1272
Zack Segovia,PHI,A,SP,R,20,2003,0,93,24
Billy Traber,CLE,MLB,SP,L,23,2003,11,425.3,87
Jesse Foppert,SF,MLB,SP,R,22,2003,19,218.3,41
Joe Mays,MIN,MLB,SP,R,27,2003,12,1260.6,247
Tim Spooneybarger,MIA,MLB,RP,R,23,2003,7,273,201
Runelvys Hernandez,KC,MLB,SP,R,25,2003,0,399.3,66
Brian Tallet,CLE,AAA,SP,R,25,2003,2,437,81
C.J. Wilson,TEX,AA,SP,L,22,2003,0,330.6,66
Ryan Dempster,CIN,MLB,SP,R,26,2003,320,1462,244
Denny Neagle,COL,MLB,SP,L,34,2003,539,2299.6,462
Rusty Greer,TEX,MLB,OF,L,34,2003,3829,0,1027
Rick Ankiel,STL,AA,OF,L,23,2003,87,0,53
Paul Byrd,ATL,AA,SP,R,32,2003,148,1580,340
Seth McClung,TB,MLB,SP,R,22,2003,0,474.3,94
Scott Strickland,WAS,MLB,RP,R,27,2003,7,494.6,334
Doug Creek,TOR,MLB,RP,R,34,2003,109,1069.3,455
Anthony Pluta,TEX,A+,SP,R,20,2003,0,287.6,57
Brian Moehler,HOU,MLB,SP,R,31,2003,30,1480,248
Jason Bulger,ARI,A+,SP,R,24,2003,0,122,26
Ricky Bones,MIA,MLB,SP,R,34,2003,116,2269,569
A.J. Burnett,MIA,MLB,SP,R,26,2003,169,934,166
Matt Wise,LAA,MLB,SP,R,27,2003,0,769.3,140
Andy Ashby,LAD,MLB,SP,R,35,2003,572,2580.3,444
Jayson Durocher,MIL,MLB,RP,R,28,2003,6,815.6,339
Anibal Sanchez,BOS,HS,SP,R,19,2003,0,0,0
Manny Delcarmen,BOS,A+,SP,R,21,2003,0,205,41
Luke Hagerty,CHC,A-,SP,L,22,2003,0,50,10
Scott Lewis,CLE,HS,SP,L,19,2003,0,0,0
Tom Shearn,HOU,AAA,SP,R,25,2003,40,719,201
Mike Stodolka,KC,A+,SP,R,21,2003,0,491.6,101
Hung-Chih Kuo,LAD,A+,RP,L,21,2003,0,36.3,15
Ben Diggins,MIL,AA,SP,R,24,2003,25,327,61
Rusty Tucker,SD,AA,RP,L,22,2003,1,153.6,138
Scott Feldman,TEX,Rk,RP,R,20,2003,0,6.3,3
Ben Kozlowski,TEX,AA,SP,L,22,2003,0,470,101
Danny Touchet,TEX,HS,RP,R,21,2003,0,0,0
Francisco Rosario,TOR,A+,SP,R,22,2003,0,205.3,42
Armando Galarraga,WAS,Rk,RP,R,21,2003,0,51.3,21
