Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Tom Gordon,BOS,MLB,RP,R,31,1999,0,1962,498
Joe Nelson,ATL,AAA,RP,R,24,1999,19,421,163
Chad Fox,MIL,MLB,RP,R,28,1999,34,631.3,205
Mark Wohlers,ATL,MLB,RP,R,29,1999,15,767,605
Geremi Gonzalez,CHC,AAA,SP,R,24,1999,98,823,169
Seth Greisinger,DET,AAA,SP,R,23,1999,4,360.3,62
Hipolito Pichardo,KC,MLB,RP,R,29,1999,4,909.3,346
Matt Morris,STL,MLB,SP,R,24,1999,133,568.6,91
Kerry Wood,CHC,MLB,SP,R,22,1999,83,445,81
Kerry Ligtenberg,ATL,MLB,RP,R,28,1999,1,208,184
Rocky Biddle,CHW,A+,RP,R,23,1999,0,120,34
Brian Falkenborg,BAL,MLB,SP,R,21,1999,0,331,71
Jeff Tabaka,PIT,MLB,RP,L,35,1999,41,965,484
Mitch Wylie,CHW,A,RP,R,22,1999,0,62,26
Nate Bland,LAD,AA,SP,L,24,1999,3,538,132
Paul Wilson,NYM,AAA,SP,R,26,1999,81,480.6,83
Jimmy Journell,STL,Coll,RP,R,21,1999,0,32,13
