Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Erik Cordier,KC,A,SP,R,20,2006,0,87.3,21
Francisco Liriano,MIN,MLB,SP,L,22,2006,7,629,125
Mark Melancon,NYY,A-,RP,R,21,2006,0,7.6,7
Scott Mathieson,PHI,MLB,SP,R,22,2006,26,506.6,104
Bryan Morris,LAD,Rk,SP,R,19,2006,0,59.6,14
Merkin Valdez,SF,AAA,SP,R,24,2006,17,465,128
Eddie Guardado,SEA,MLB,RP,L,35,2006,1,1299.6,857
Brandon Backe,HOU,MLB,SP,R,28,2006,990,608.3,213
Paul Raglione,KC,Rk,RP,R,19,2006,0,93.3,23
Logan Kensing,MIA,MLB,RP,R,23,2006,24,386,100
Luis Atilano,ATL,A+,SP,R,21,2006,0,371.6,69
Jose Guillen,WAS,MLB,OF,R,30,2006,5888,0,1650
Vinnie Pestano,CLE,Coll,RP,R,21,2006,0,22.6,21
Brian Anderson,KC,MLB,SP,L,34,2006,259,1829.6,340
Carlos Martinez,MIA,MLB,RP,R,24,2006,0,182,145
Tyler Walker,TB,MLB,SP,R,30,2006,58,949,322
Carlos Almanzar,ATL,AAA,RP,R,32,2006,10,808,513
Brian Ward,BAL,HS,C,R,21,2006,0,0,0
Eric Berger,CLE,Coll,RP,L,20,2006,0,38.3,10
Julio Santana,PHI,MLB,SP,R,33,2006,47,1300.3,422
Shawn Estes,SD,MLB,SP,L,33,2006,343,2106.6,370
John Foster,ATL,MLB,RP,L,28,2006,7,326,281
Kelly Johnson,ATL,MLB,2B,R,24,2006,2342,0,688
Victor Zambrano,NYM,MLB,RP,R,30,2006,326,999,385
Ricardo Rincon,STL,MLB,RP,L,36,2006,4,447.3,564
Steve Stemle,KC,MLB,SP,R,29,2006,80,889.3,225
Eddie Gamboa,BAL,Coll,RP,R,21,2006,0,62,12
Yhency Brazoban,LAD,MLB,RP,R,26,2006,9,174,210
Luis Ayala,WAS,MLB,RP,R,28,2006,13,257,235
Juan Padilla,NYM,MLB,RP,R,29,2006,6,572.3,411
Trey Lunsford,SF,AA,C,R,27,2006,1685,0,511
Daniel Schlereth,ARI,Coll,RP,L,20,2006,0,12,10
Wei-Yin Chen,BAL,Coll,RP,L,20,2006,0,19.3,10
Jin-ho Cho,BOS,AAA,SP,R,30,2006,1,709.6,165
Kirby Yates,BOS,HS,RP,R,19,2006,0,0,0
Kris Honel,CHW,AA,SP,R,23,2006,0,459.3,89
Frank Viola III,CHW,Rk,SP,R,22,2006,0,70.3,12
Tyler Sample,KC,HS,SP,R,17,2006,0,0,0
Adalberto Flores,MIA,Rk,RP,R,19,2006,0,31.3,13
Jeff Bennett,MIL,AAA,SP,R,26,2006,14,812,257
John Gast,STL,HS,RP,L,17,2006,0,0,0
Drew Bigda,TB,A,RP,L,23,2006,0,112.3,84
Lance Pendleton,TB,A-,SP,R,22,2006,0,27,6
Alec Asher,TEX,HS,SP,R,14,2006,0,0,0
Matt Nevarez,TEX,Rk,RP,R,19,2006,0,29,11
Cristian Santana,TEX,HS,OF,R,17,2006,0,0,0
Vince Perkins,TOR,AA,SP,R,24,2006,0,440,94
