Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Rene Arocha,STL,MLB,SP,R,29,1995,101,487.3,143
Jose Rijo,CIN,MLB,SP,R,30,1995,432,2361.3,467
Bobby Munoz,PHI,MLB,SP,R,27,1995,47,641.6,168
Butch Henry,WAS,MLB,SP,L,26,1995,212,1093.3,204
Cal Eldred,STL,MLB,SP,R,27,1995,0,1094.6,161
Steve Karsay,OAK,MLB,SP,R,24,1995,0,414,74
Bryan Harvey,MIA,MLB,RP,R,32,1995,0,590.3,450
Luis Lopez,SD,MLB,IF,R,24,1995,1620,0,721
Masumi Kuwata,PIT,Coll,SP,R,27,1995,606,1691.3,243
