Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Bob Wickman,CLE,MLB,RP,R,33,2002,2,1285.3,690
Erik Bedard,BAL,AA,SP,L,23,2002,0,311.6,71
Doug Brocail,DET,MLB,SP,R,35,2002,189,1451.6,525
J.R. House,PIT,AA,C,R,22,2002,1177,0,361
Benito Baez,MIA,Rk,RP,L,25,2002,7,660.3,258
Jon Lieber,CHC,MLB,SP,R,32,2002,483,1861.3,331
Scott Chiasson,CHC,AAA,RP,R,24,2002,0,360.6,158
Jeff Zimmerman,TEX,MLB,RP,R,29,2002,0,435.6,275
Ben Christensen,CHC,AA,SP,R,24,2002,27,240.3,44
Danny Patterson,DET,MLB,RP,R,31,2002,1,794.3,522
Tyler Yates,NYM,AAA,RP,R,24,2002,0,292.6,200
Matt Thornton,SEA,AA,SP,L,25,2002,0,353,92
Brian Tollberg,SD,MLB,SP,R,29,2002,152,997.6,194
Jason Christiansen,SF,MLB,RP,L,32,2002,13,610.6,563
John Franco,NYM,MLB,RP,L,41,2002,72,1502.6,1074
Dave Eiland,TB,MLB,SP,R,35,2002,34,1794.6,340
Pete Harnisch,CIN,MLB,SP,R,35,2002,518,2365.3,384
Mike Duvall,MIN,MLB,RP,L,27,2002,3,457,304
Jack Taschner,SF,A+,RP,L,24,2002,0,120.6,31
Will Ohman,CHC,MLB,RP,L,24,2002,8,307.3,161
Jason Grilli,MIA,MLB,SP,R,25,2002,89,456,86
Ryan Vogelsong,PIT,MLB,SP,R,24,2002,63,518,107
Kevin Jarvis,SD,MLB,SP,R,32,2002,203,1452,289
Jesus Delgado,BOS,HS,SP,R,18,2002,0,0,0
Phil Norton,CHC,AAA,SP,L,26,2002,95,841,176
Jeff Bajenaru,CHW,AA,RP,R,24,2002,0,71.3,59
Mike Steele,DET,A+,RP,R,23,2002,0,92,75
Chuck Smith,MIA,AAA,SP,R,32,2002,71,1191.6,282
Brandon Claussen,NYY,AAA,SP,L,23,2002,0,426.3,70
Cha Seung Baek,SEA,A+,SP,R,22,2002,0,175.6,37
Steve Delabar,SD,HS,RP,R,18,2002,0,0,0
Bobby Cramer,TB,Coll,RP,L,22,2002,0,23.3,10
Ryan Tatusko,WAS,HS,SP,R,18,2002,0,0,0
