Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Ken Ryan,PHI,MLB,RP,R,28,1997,8,1024.6,508
Todd Hundley,NYM,MLB,C,R,28,1997,3877,0,1156
Steve Sparks,MIL,MLB,SP,R,31,1997,1,1595,261
Rheal Cormier,WAS,MLB,SP,L,30,1997,231,1192.6,248
Randy Velarde,LAA,MLB,IF,R,34,1997,4265,0,1301
Jay Payton,NYM,AAA,OF,R,24,1997,999,0,272
Winston Abreu,ATL,A,SP,R,20,1997,0,191.3,38
Eric Gagne,LAD,A,SP,R,21,1997,0,115.3,23
Britt Reames,STL,A,SP,R,24,1997,0,245.3,40
Matt Quatraro,TB,A,C,R,23,1997,538,0,137
Billy Koch,TOR,A+,RP,R,22,1997,0,21.3,3
