Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Bill Simas,CHW,MLB,RP,R,28,2000,0,610,449
Kyle Snyder,KC,A+,RP,R,22,2000,0,26,9
Scott Erickson,BAL,MLB,SP,R,32,2000,15,2299.6,355
Tom Lampkin,SEA,MLB,C,R,36,2000,1796,0,777
Danny Kolb,TEX,MLB,SP,R,25,2000,0,666.6,130
Scott Radinsky,STL,MLB,RP,L,32,2000,6,744.3,711
J.M. Gold,MIL,A,SP,R,20,2000,0,166.3,33
John Patterson,ARI,AAA,SP,L,22,2000,23,350.6,71
Michael Tejera,MIA,MLB,SP,L,23,2000,30,441,83
John Smoltz,ATL,MLB,SP,R,33,2000,719,2819.6,424
Andrew Good,ARI,A,SP,R,20,2000,0,193.3,38
Randy Williams,CHC,A+,RP,L,24,2000,0,56,16
David Cortes,ATL,MLB,RP,R,26,2000,5,178,150
Odalis Perez,ATL,MLB,SP,L,22,2000,54,436,122
Juan Pena,BOS,MLB,SP,R,23,2000,0,647.6,109
Lance Carter,KC,MLB,SP,R,25,2000,0,260.6,56
Orber Moreno,KC,MLB,RP,R,23,2000,0,308.6,118
Rocky Coppinger,MIL,MLB,SP,R,26,2000,3,742.3,164
Sterling Hitchcock,SD,MLB,SP,L,29,2000,183,1715.6,320
Ken Cloude,SEA,MLB,SP,R,25,2000,7,911,179
Joe Roa,SF,MLB,SP,R,28,2000,81,1366,257
Andrew Brown,ATL,Rk,SP,R,19,2000,0,42.3,11
Scott Sobkowiak,ATL,AA,SP,R,22,2000,2,203.3,39
Jason Stumm,CHW,A,SP,R,19,2000,0,121.3,26
Ryan Shealy,COL,Coll,1B,R,20,2000,231,0,69
Jae Seo,NYM,A+,SP,R,23,2000,0,54.6,13
Brian Stitt,SEA,HS,SP,R,17,2000,0,0,0
