Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Lance Lynn,STL,MLB,SP,R,28,2015,280,1205.6,227
Casey Sadler,PIT,AAA,SP,R,24,2015,40,578.3,144
Jaimito Lebron,SD,Rk,RP,R,18,2015,0,57,25
Shane McClanahan,TB,HS,RP,L,18,2015,0,0,0
Mason Hope,MIA,A,SP,R,23,2015,0,199.3,50
Cameron Griffin,NYM,A,RP,R,24,2015,62,89.6,71
Jesse Biddle,PHI,AAA,SP,L,23,2015,42,677.3,133
Branden Kline,BAL,AA,SP,R,23,2015,0,230,45
Greg Holland,KC,MLB,RP,R,29,2015,0,572.3,449
Tyson Perez,HOU,AAA,RP,R,25,2015,0,407.3,165
Cameron Avila-Leeper,SF,Coll,RP,L,19,2015,0,3,2
Aaron Barrett,WAS,MLB,RP,R,27,2015,1,233,226
Peter Strzelecki,MIL,HS,SP,R,20,2015,0,0,0
Li-Jen Chu,CLE,A-,C,R,21,2015,312,0,90
Paco Rodriguez,ATL,AAA,RP,L,24,2015,1,137.6,181
Nathan Kirby,MIL,A,SP,L,21,2015,0,222.6,59
Marcos Molina,NYM,A+,SP,R,20,2015,0,246,53
Angel Sanchez,PIT,AAA,SP,R,25,2015,28,620,121
Saul De La Cruz,PIT,HS,RP,R,17,2015,0,0,0
Keaton Aldridge,NYM,Rk,C,R,22,2015,594,6,203
David Ramos,WAS,A-,RP,R,23,2015,0,121,77
James Needy,SD,AA,SP,R,24,2015,24,575.6,133
Dylan Dusek,SF,Coll,SP,L,20,2015,0,107.3,25
Ricardo Rodriguez,TEX,A,RP,R,22,2015,0,216.6,73
Aaron Bummer,CHW,Rk,RP,L,21,2015,0,225.3,74
Taylor Williams,MIL,A+,SP,R,23,2015,0,280.3,54
Jason Vargas,KC,MLB,SP,L,32,2015,110,1699.6,313
Walker Buehler,LAD,Coll,SP,R,20,2015,0,267,54
Nate Adcock,CIN,MLB,SP,R,27,2015,15,891.6,249
Morgan Lofstrom,CIN,Rk,C,R,19,2015,191,62,0
Hector Garcia,PIT,A-,RP,L,19,2015,0,109.6,37
Fernery Ozuna,ARI,A-,2B,R,19,2015,835,0,210
Brian Hunter,CIN,A,RP,R,22,2015,354,279,98
Brusdar Graterol,MIN,Rk,SP,R,16,2015,0,11,4
Blake Taylor,NYM,A-,SP,L,19,2015,0,74,24
Jack Leathersich,NYM,MLB,RP,L,24,2015,0,244,195
Wesley Rodriguez,ARI,HS,RP,R,18,2015,0,0,0
Matt Trowbridge,BAL,A,RP,L,22,2015,0,132,69
Greg Maisto,TB,A-,SP,L,20,2015,0,56.3,15
Jonah Wesely,LAA,A,RP,L,20,2015,0,66.6,39
Chris Betts,TB,HS,C,R,18,2015,0,0,0
Mark Armstrong,CIN,A,SP,R,20,2015,0,129.3,29
Blake Hickman,CHW,Coll,SP,R,21,2015,151,154.3,41
Josh Goossen-Brown,CHW,Rk,RP,R,24,2015,481,124.3,72
Michael Smith,LAA,A+,RP,R,25,2015,0,302,170
Mitch McIntyre,MIL,Coll,RP,R,20,2015,0,12.3,8
Don Kelly,MIA,MLB,OF,R,35,2015,1098,0,584
Shane Combs,CHC,HS,RP,R,18,2015,0,0,0
Nick Christiani,CIN,AA,RP,R,27,2015,9,354,278
Sergio Santos,NYY,MLB,RP,R,31,2015,3114,256.3,263
Glenn Sparkman,KC,AA,SP,R,23,2015,0,177.6,53
Jacob Taylor,PIT,Rk,SP,R,19,2015,0,2,1
Pavin Smith,ARI,Coll,1B,L,19,2015,270,0,68
Marcus Greene,TEX,A,C,R,20,2015,468,0,138
Nick Vander Tuig,SF,A+,SP,R,23,2015,0,373.3,95
Keegan Thompson,CHC,Coll,SP,R,20,2015,134,159.3,26
Jace Fry,CHW,A+,SP,L,21,2015,0,277.6,52
Jordan Dunatov,CLE,Rk,RP,R,22,2015,33,12.3,16
Tyler Brown,HOU,HS,RP,R,16,2015,0,0,0
Marc Magliaro,COL,Rk,RP,R,24,2015,0,63,50
Eduardo Vera,PIT,Rk,RP,R,20,2015,0,133,51
Brandon Workman,BOS,MLB,SP,R,26,2015,3,560.6,118
Joe Harvey,NYY,A,RP,R,23,2015,0,175,88
Riley Thompson,CHC,HS,RP,R,18,2015,0,0,0
Zeke McGranahan,BAL,A,RP,R,24,2015,0,96.6,40
Kent Emanuel,HOU,AA,SP,L,23,2015,0,517.3,98
Cody Morris,CLE,HS,SP,R,18,2015,0,0,0
Kevin Krause,PIT,A-,C,R,22,2015,642,0,184
Yomar Morel,CHC,A-,RP,R,21,2015,0,115.3,48
Bryan Hoeing,MIA,HS,RP,R,18,2015,0,0,0
Delvin Hiciano,PIT,Rk,RP,R,23,2015,0,22.6,15
Walker Weickel,SD,A+,SP,R,21,2015,0,250.6,65
Justin Garza,CLE,Coll,SP,R,21,2015,0,252.6,41
Nick Kingham,PIT,AAA,SP,R,23,2015,20,534.6,103
James Bourque,WAS,A-,RP,R,21,2015,0,177.3,75
Dylan Baker,CLE,A+,SP,R,23,2015,0,242,54
Kenny Mathews,CLE,Rk,SP,L,21,2015,0,136.6,37
Chase Whitley,NYY,MLB,RP,R,26,2015,5,440.3,197
Victor Diaz,MIL,A,RP,R,21,2015,0,204.3,56
Alex Cobb,TB,MLB,SP,R,27,2015,11,1119.6,206
Ramire Cleto,SEA,A,SP,R,22,2015,0,237.6,62
Homer Bailey,CIN,MLB,SP,R,29,2015,347,1599,287
Matt Magill,CIN,AAA,SP,R,25,2015,57,774.3,178
Adam Ottavino,COL,MLB,RP,R,29,2015,103,954.6,342
Davis Ward,STL,Rk,SP,R,23,2015,0,230.3,34
Anthony Castro,DET,Rk,SP,R,20,2015,1,168.6,39
Domingo Tapia,NYM,AA,SP,R,23,2015,0,437.6,94
Derek Casey,CHC,Coll,SP,R,19,2015,0,32.3,10
Donald Lutz,CIN,AAA,OF,R,26,2015,2486,0,707
Reid Redman,KC,AA,RP,R,26,2015,584,121.6,83
Austin DeCarr,NYY,Rk,RP,R,20,2015,0,23.3,11
Brandon McCarthy,LAD,MLB,SP,R,31,2015,77,1650,322
Joe Nathan,DET,MLB,RP,R,40,2015,291,1247.3,659
Justin Topa,PIT,A,SP,R,24,2015,0,285,72
Brady Feigl,ATL,AAA,RP,L,24,2015,0,112.3,48
Lisalverto Bonilla,TEX,MLB,RP,R,25,2015,1,485.3,202
Jake Sweaney,PHI,Rk,OF,R,20,2015,128,0,56
Reilly Hovis,MIA,Coll,RP,R,21,2015,0,124.6,69
Mike Matuella,TEX,Coll,SP,R,21,2015,0,145.6,43
Lewis Thorpe,MIN,A,SP,L,19,2015,0,157.6,36
Jose Pena,NYY,Rk,RP,R,24,2015,0,196.3,87
Aaron Crow,MIA,MLB,RP,R,28,2015,0,433.3,293
Mario Hollands,PHI,MLB,SP,L,26,2015,10,478,154
Jesse Beal,BAL,A+,RP,R,24,2015,0,368.6,127
B.J. Hermsen,MIN,A+,SP,R,25,2015,0,601.3,135
Burch Smith,TB,AAA,SP,R,25,2015,29,367,83
James Carter,LAD,Coll,RP,R,21,2015,0,9.6,7
Christian Vazquez,BOS,MLB,C,R,24,2015,2338,0,672
Jacob Webb,ATL,Rk,SP,R,21,2015,0,33.6,11
Drew Anderson,PHI,Rk,SP,R,21,2015,0,148.6,34
Matt Brill,ARI,Coll,RP,R,20,2015,215,11.3,9
Jose Rosario,CHC,A+,SP,R,24,2015,0,437.6,115
Orlando Razo,SEA,Coll,RP,L,20,2015,0,75,28
Wil Crowe,WAS,Coll,SP,R,20,2015,0,143,24
Domingo German,NYY,A,SP,R,22,2015,0,293.6,77
Ty Hensley,NYY,A-,SP,R,21,2015,0,42.6,16
Jordan Romano,TOR,Rk,RP,R,22,2015,0,68.6,42
Zack Wheeler,NYM,MLB,SP,R,25,2015,107,676.6,130
Will Remillard,CHC,A,C,R,22,2015,556,0,162
Brady Aiken,CLE,HS,SP,L,18,2015,0,0,0
Bryce Beeler,NYM,Rk,RP,R,22,2015,341,50.3,36
A.J. Minter,ATL,Coll,RP,L,21,2015,0,66,59
Cal Quantrill,SD,Coll,SP,R,20,2015,0,129.3,21
Joel Hanrahan,DET,MLB,RP,R,33,2015,149,1389,524
Mason Thompson,SD,HS,SP,R,17,2015,0,0,0
Josh Edgin,NYM,MLB,RP,L,28,2015,1,257,258
Yu Darvish,TEX,MLB,SP,R,28,2015,47,1813.6,250
Nick Sabo,SF,Rk,SP,L,22,2015,0,137,40
Tim Collins,KC,MLB,RP,L,25,2015,1,476.3,402
Brandon Cumpton ,PIT,MLB,SP,R,26,2015,61,614,125
Sean Johnson,HOU,Coll,RP,R,20,2015,0,1,1
Robby Sexton,BOS,Coll,SP,L,21,2015,0,138.3,29
Aaron Fossas,CIN,Coll,RP,R,22,2015,0,75,44
Kyle Smith,HOU,AA,SP,R,22,2015,0,323,66
Bailey Ober,MIN,Coll,SP,R,19,2015,0,106.6,17
Shae Simmons,ATL,MLB,RP,R,24,2015,1,246.6,161
Onas Farfan,MIN,Rk,RP,L,22,2015,0,15,6
Andrew McDonald,CIN,Coll,RP,R,20,2015,0,16.3,10
Carlos Aponte,MIN,Rk,RP,R,19,2015,0,78.3,42
Derick Velazquez,HOU,A-,RP,R,21,2015,0,155,63
Christian Taugner,MIL,Coll,SP,R,20,2015,0,52.6,8
Casey Kulina,ARI,Coll,RP,L,22,2015,0,26,27
Tyler Poulin,ARI,HS,SP,R,18,2015,0,0,0
Jacob Dahlstrand,BOS,A+,SP,R,23,2015,1,293.3,72
Brian Van Belle,BOS,HS,SP,R,18,2015,0,0,0
Jacob Steffens,CHC,Coll,RP,R,21,2015,0,111.3,32
Cole Sulser,CLE,AA,SP,R,25,2015,0,292.3,59
Nick Bush,COL,HS,RP,L,18,2015,0,0,0
Eduardo Sanchez,DET,A+,RP,R,26,2015,2,474,396
Zac Reininger,DET,A+,RP,R,22,2015,0,121.3,82
Andres Machado,KC,Rk,RP,R,22,2015,0,110.6,42
Sam Lewis,KC,Rk,RP,R,23,2015,0,85.3,29
Matt Wynne,KC,Coll,SP,R,21,2015,0,23,8
Cesar Araujo,LAA,Rk,RP,R,18,2015,0,19,14
Ryan Etsell,LAA,A+,SP,R,23,2015,0,237.6,65
Reza Aleaziz,LAD,HS,RP,R,19,2015,0,0,0
Angel Vasquez,PIT,Rk,RP,R,21,2015,0,36,25
Yerry De Los Santos,PIT,Rk,SP,R,17,2015,0,59,14
Reid Morgan,SEA,HS,RP,R,18,2015,0,0,0
Caleb Simpson,SF,Rk,RP,R,23,2015,0,7.6,8
Eric Lex,STL,Coll,SP,R,19,2015,0,58.6,14
Nicholas Sawyer,TB,A+,RP,R,23,2015,0,132,90
Nicholas Padilla,TB,HS,SP,R,18,2015,0,0,0
Greg Williams,TEX,Rk,RP,L,25,2015,0,82.3,57
Lucas Knowles,WAS,HS,SP,L,16,2015,0,0,0
