Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Seung-hwan Oh,STL,HS,RP,R,18,2001,0,0,0
Chris Narveson,STL,A+,SP,L,19,2001,0,171.6,31
Brian Rose,TB,AAA,SP,R,25,2001,32,761.6,161
Lance Painter,TOR,MLB,RP,L,33,2001,140,1144,450
Bobby Bradley,PIT,A+,SP,R,20,2001,0,162.6,29
Adam Eaton,SD,MLB,SP,R,23,2001,103,678.6,115
Pat Hentgen,BAL,MLB,SP,R,32,2001,78,2687.6,462
Kevin Walker,SD,MLB,RP,L,24,2001,4,522,187
Matt Holliday,COL,A+,OF,R,21,2001,1276,0,348
Darren Dreifort,LAD,MLB,SP,R,29,2001,239,824.6,197
Matt Mantei,ARI,MLB,RP,R,27,2001,6,390,332
Kris Benson,PIT,MLB,SP,R,26,2001,163,698.3,115
Valerio De Los Santos,MIL,MLB,RP,R,28,2001,15,537.3,207
Scott Williamson,CIN,MLB,RP,R,25,2001,39,412.6,148
Rod Beck,BOS,MLB,RP,R,32,2001,76,1455.6,783
Mike Benjamin,PIT,MLB,IF,R,35,2001,1926,0,818
Garrett Stephenson,STL,MLB,SP,R,29,2001,145,1212.6,224
Scott Downs,WAS,MLB,SP,L,25,2001,38,475,84
Derrick Lewis,ATL,AAA,SP,R,25,2001,27,518.3,102
Jose Capellan,ATL,Rk,RP,R,20,2001,0,15.6,3
Luke Scott,CLE,Coll,OF,R,23,2001,334,0,97
Chin-Hui Tsao,COL,A+,SP,R,20,2001,0,162.3,28
Steve Green,LAA,AAA,SP,R,23,2001,0,431,75
Ryan Poe,MIL,AA,RP,R,23,2001,11,281.3,112
Sean Henn,NYY,A-,SP,L,20,2001,0,42,8
Francisco Cordova,PIT,AAA,SP,R,29,2001,232,780.6,172
Xavier Nady,SD,A+,1B,R,22,2001,525,0,138
Gerik Baxter,SD,A,SP,R,21,2001,0,161,33
Chance Caple,STL,A+,SP,R,22,2001,0,162,29
Jason Frasor,TOR,A,SP,R,23,2001,0,154,30
