Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Jamie Moyer,PHI,MLB,SP,L,47,2010,467,4751,797
Michael Nolan,OAK,HS,SP,L,22,2010,0,0,0
Sam Dyson,TOR,HS,RP,R,22,2010,0,0,0
Scott Gorgen,STL,AA,SP,R,23,2010,7,233.6,38
Justin Maxwell,WAS,MLB,OF,R,26,2010,783,0,346
Jacob deGrom,NYM,Rk,SP,R,22,2010,0,26,6
Hector Ambriz,CLE,MLB,SP,R,26,2010,62,558,139
Wilmer Font,TEX,A+,SP,R,20,2010,0,237,62
Vincent Velasquez,HOU,Rk,SP,R,18,2010,0,29.3,8
Evan Reed,TEX,AA,RP,R,24,2010,0,291.3,134
Manuel Corpas,COL,MLB,RP,R,27,2010,6,564.3,459
John Baker,MIA,MLB,C,R,29,2010,1076,0,359
Stephen Strasburg,WAS,MLB,SP,R,21,2010,30,142.3,28
Shawn Kelley,SEA,MLB,RP,R,26,2010,0,155,130
Vaughn Covington,CIN,HS,RP,R,16,2010,0,0,0
Erick Threets,CHW,MLB,RP,L,28,2010,13,583,402
Hector Rondon,CLE,AAA,SP,R,22,2010,0,511.6,99
Michael Ynoa,OAK,Rk,RP,R,18,2010,0,9,3
Ben Sheets,OAK,MLB,SP,R,31,2010,462,1769.3,282
Danny Salazar,CLE,A,SP,R,20,2010,0,225.3,53
Kyle Blanks,SD,MLB,OF,R,23,2010,250,0,87
Robbie Aviles,CLE,HS,RP,R,18,2010,0,0,0
Brett Cammons,ATL,AA,RP,R,24,2010,4,214,120
Kaleb Fleck,ARI,HS,RP,R,21,2010,0,0,0
Brian Pearl,CIN,A,RP,R,22,2010,0,50.6,25
Tyler Henley,STL,AA,OF,L,25,2010,1295,0,364
James Parr,ATL,AAA,SP,R,24,2010,54,788.3,214
Donnie Veal,PIT,AAA,SP,L,25,2010,53,563,140
Dustin Antolin,TOR,A,RP,R,20,2010,0,97.3,58
Zach Miner,DET,MLB,SP,R,28,2010,51,1145.3,308
Arnold Leon,OAK,AA,RP,R,21,2010,0,87,56
Chris Coste,PHI,MLB,C,R,37,2010,806,0,299
Justin Lehr,CIN,AAA,RP,R,32,2010,107,1639.6,499
Steven Matz,NYM,HS,SP,L,19,2010,0,0,0
Luis Lebron,BAL,AA,RP,R,25,2010,0,209.6,182
Layne Somsen,CIN,HS,SP,R,21,2010,0,0,0
Jack Egbert,CHW,AAA,SP,R,27,2010,0,774,161
Christian Garcia,NYY,AA,SP,R,25,2010,0,296.3,57
Mike Nesseth,PHI,HS,RP,R,22,2010,0,0,0
Junichi Tazawa,BOS,MLB,SP,R,24,2010,0,134.6,26
Brett Bochy,SF,HS,RP,R,22,2010,0,0,0
Juan Jaime,WAS,A,RP,R,22,2010,0,111.6,42
Trevor Foss,LAA,HS,SP,R,20,2010,0,0,0
Elliot Morris,LAA,HS,SP,R,18,2010,0,0,0
Jeff Bianchi,KC,AA,SS,R,23,2010,1394,0,371
Jon Meloan,OAK,MLB,RP,R,25,2010,26,363,176
Omar Poveda,TEX,AA,SP,R,22,2010,0,591,108
Casey Mulholland,LAD,HS,RP,R,18,2010,0,0,0
Marcus Walden,TOR,A+,SP,R,21,2010,0,121,28
Jose Arredondo,LAA,MLB,RP,R,26,2010,68,443.6,236
Clay Zavada,ARI,AAA,RP,L,26,2010,2,156,111
Jennell Hudson,BOS,Rk,RP,R,20,2010,0,15,10
Leandro Marin,BOS,A+,RP,R,21,2010,0,66.6,46
Joseph Colon,CLE,Rk,SP,R,20,2010,0,32,11
Michael Morrison,DET,A+,RP,R,22,2010,0,24.3,15
Tommy Collier,DET,Coll,SP,R,20,2010,0,39,7
Alex Luna,KC,HS,RP,R,17,2010,0,0,0
Hainley Statia,LAA,AAA,SS,R,24,2010,564,0,220
Hunter Jones,MIA,AAA,RP,L,26,2010,12,799.3,305
Matt Bashore,MIN,Rk,RP,L,22,2010,0,2,1
Will Fulmer,NYM,HS,IF,R,18,2010,0,0,0
Pedro Figueroa,OAK,AA,SP,L,24,2010,0,385,86
Julio Ramos,OAK,A+,SP,L,22,2010,0,193.6,48
Ben Bracewell,OAK,HS,SP,R,19,2010,0,0,0
Ricky Orta,SEA,AA,SP,R,25,2010,0,259.6,81
Jose Valdivia,SEA,Rk,RP,R,18,2010,0,6.3,7
Gus Benusa,SF,Rk,OF,L,19,2010,74,0,21
Joe Biagini,SF,HS,RP,R,20,2010,0,0,0
Josh Osich,SF,HS,SP,L,21,2010,0,0,0
Jesse Hahn,TB,HS,SP,R,20,2010,0,0,0
Andrew Laughter,TEX,AA,RP,R,25,2010,0,149.6,110
Tomas Telis,TEX,Rk,C,R,19,2010,581,0,152
Jack McGeary,WAS,A,SP,L,21,2010,0,217.3,49
