Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Jaime Schultz,TB,Coll,RP,R,19,2011,0,65.3,38
Ryan Perez,CLE,HS,RP,L,17,2011,0,0,0
Andrew Rohrbach,COL,Coll,SP,R,19,2011,0,113.6,18
John Lackey,BOS,MLB,SP,R,32,2011,38,2456.6,388
Leonel Campos,SD,A-,RP,R,23,2011,0,6.6,5
Carlos Carrasco,CLE,MLB,SP,R,24,2011,50,1084.3,193
Kyle Gibson,MIN,AAA,SP,R,23,2011,0,247.3,43
Taylor Jordan,WAS,A,SP,R,22,2011,0,194.3,42
Juan Gutierrez,ARI,MLB,SP,R,27,2011,59,776,275
Tony Pena,CHW,MLB,RP,R,29,2011,42,803.3,519
Zack Cozart,CIN,MLB,SS,R,25,2011,1654,0,440
Rubby De La Rosa,LAD,MLB,SP,R,22,2011,29,240.6,58
Brad Hawpe,SD,MLB,OF,L,32,2011,2907,0,893
Jason Hursh,ATL,Coll,RP,R,19,2011,0,29.6,10
Aaron Wilkerson,BOS,HS,SP,R,22,2011,0,0,0
Chia-Jen Lo,HOU,A,RP,R,25,2011,2,81.3,51
Kevin Walter,PHI,Rk,RP,R,19,2011,0,2,1
Nick Neumann,PIT,Coll,SP,R,20,2011,0,72.3,12
David Aardsma,SEA,MLB,RP,R,29,2011,19,513.6,422
Carlos Monasterios,LAD,AAA,SP,R,25,2011,17,919.6,270
Alan Farina,TOR,AA,RP,R,24,2011,0,161,124
Brett Anderson,OAK,MLB,SP,L,23,2011,4,614,110
Johnny Anderson,TOR,A,SP,L,22,2011,0,129,39
Jose Casilla,SF,A+,RP,R,22,2011,0,198,108
Conor Mullee,NYY,Rk,RP,R,23,2011,0,22,14
Joba Chamberlain,NYY,MLB,RP,R,25,2011,5,470.3,211
Daisuke Matsuzaka,BOS,MLB,SP,R,30,2011,32,2068,320
Rich Hill,BOS,MLB,SP,L,31,2011,166,1038,262
Jorge De La Rosa,COL,MLB,SP,L,30,2011,196,1288.3,342
Mason Tobin,TEX,MLB,SP,R,23,2011,0,101.6,29
Robert Whitenack,CHC,AA,SP,R,22,2011,11,258,54
Drew Naylor,PHI,AA,SP,R,25,2011,20,620.3,106
Chad Smith,DET,Coll,RP,R,21,2011,0,24.3,22
Jenrry Mejia,NYM,MLB,SP,R,21,2011,17,319.6,94
Stephen Marek,ATL,AAA,RP,R,27,2011,3,531,223
Cameron Bedrosian,LAA,Rk,RP,R,19,2011,0,12,5
Andrew Chin,NYY,HS,SP,L,18,2011,0,0,0
Matt Lujan,SF,Coll,SP,L,22,2011,0,79.3,13
Scott McGregor,STL,AA,SP,R,24,2011,10,290,77
Josh Uhen,MIL,HS,RP,R,19,2011,0,0,0
Nick Hill,SEA,AA,RP,L,26,2011,0,275.6,126
Kane Sweeney,NYY,HS,1B,R,18,2011,0,0,0
Dallas Gallant,MIN,Rk,RP,R,22,2011,0,31.3,20
Matt Gorgen,ARI,AA,RP,R,24,2011,0,142.3,108
Cla Meredith,BAL,MLB,RP,R,28,2011,5,459,426
Daniel Coulombe,LAD,Coll,SP,L,21,2011,0,20.3,4
Brad Wieck,NYM,HS,RP,L,19,2011,0,0,0
Adam Wainwright,STL,MLB,SP,R,29,2011,413,1667.3,322
Steve Hathaway,ARI,HS,RP,L,20,2011,0,0,0
Brian Schlitter,CHC,AAA,RP,R,25,2011,3,198,161
Adam Lopez,CHW,Coll,RP,R,21,2011,0,10,3
Thomas Royse,CHW,Rk,SP,R,22,2011,0,34.3,10
Drew Cisco,CIN,HS,SP,R,19,2011,0,0,0
Scott Oberg,COL,HS,RP,R,21,2011,0,0,0
Jeff Ferrell,DET,A,SP,R,20,2011,0,92,19
Carmine Giardina,LAA,Rk,RP,L,23,2011,0,32.6,14
Cameron Booser,MIN,Coll,RP,L,19,2011,0,10.3,6
Adam O Neill,NYM,Rk,RP,R,21,2011,0,33.6,22
Giovanny Gallegos,NYY,HS,RP,R,19,2011,0,0,0
Cody Carroll,NYY,HS,RP,R,18,2011,0,0,0
Christian Morris,NYY,HS,RP,R,17,2011,0,0,0
Boof Bonser,OAK,AAA,SP,R,29,2011,27,1363.3,290
Eddie Bonine,PHI,AAA,SP,R,30,2011,12,940.6,270
Harrison Musgrave,COL,Coll,SP,L,19,2011,0,56.6,10
Arquimedes Caminero,MIA,Rk,RP,R,24,2011,0,213.6,131
Wei-Chung Wang,PIT,HS,RP,L,19,2011,0,0,0
Josh Lucas,STL,Rk,RP,R,20,2011,0,72.6,22
Matt Ramsey,TB,Coll,RP,R,21,2011,113,31.6,19
Adam Choplick,TEX,HS,RP,L,18,2011,0,0,0
Randy Boone,TOR,AAA,SP,R,26,2011,0,422.3,80
Zak Wasilewski,TOR,HS,SP,L,18,2011,0,0,0
A.J. Morris,WAS,A+,SP,R,24,2011,0,128.6,37
Koda Glover,WAS,HS,RP,R,18,2011,0,0,0
