Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Pablo Lopez,SEA,Rk,SP,R,18,2013,0,66.6,12
Jeff Johnson,CLE,AA,RP,R,24,2013,0,134.3,109
Mitch White,LAD,HS,SP,R,18,2013,0,0,0
Matt Harvey,NYM,MLB,SP,R,24,2013,96,483.3,82
Tyler Nevin,COL,HS,3B,R,18,2013,0,0,0
Dustin Hurlbutt,OAK,HS,SP,R,20,2013,0,0,0
Andrew Knapp,PHI,A-,C,R,21,2013,840,0,337
Colin Rodgers,KC,A,SP,L,19,2013,0,106.3,27
Raudel Lazo,MIA,AA,RP,L,24,2013,1,74.3,55
Matt Reynolds,ARI,MLB,RP,L,28,2013,5,375,367
Rafael Betancourt,COL,MLB,RP,R,38,2013,400,822.3,816
J.T. Chargois,MIN,Rk,RP,R,22,2013,472,81.3,61
Josh Mueller,COL,AA,SP,R,24,2013,4,335,135
Brooks Pounders,KC,AA,SP,R,22,2013,0,412.6,125
Gabe Speier,BOS,Rk,SP,L,18,2013,0,33,12
Luis Merejo,ATL,Rk,SP,L,18,2013,0,57,15
Andy Loomis,BAL,AA,RP,L,27,2013,0,317.6,210
Bobby Bundy,BAL,AA,SP,R,23,2013,0,389.3,84
Brandon Brennan,CHW,A,SP,R,21,2013,0,186.6,43
Pat Misch,DET,AAA,SP,L,31,2013,182,1469.3,338
Austin Wood,LAA,Rk,SP,R,22,2013,0,291.6,67
Tom Stuifbergen,MIN,AA,SP,R,24,2013,0,471.6,98
Alec Mills,KC,A,RP,R,21,2013,0,251,79
Jason Marquis,SD,MLB,SP,R,34,2013,717,2516.6,484
Roberto Osuna,TOR,A,SP,R,18,2013,0,86,22
Taylor Guerrieri,TB,A,SP,R,20,2013,0,119,26
David Paulino,DET,Rk,SP,R,19,2013,0,39,15
Stephen Bruno,CHC,A+,IF,R,22,2013,263,0,65
Matt Strahm,KC,Rk,RP,L,21,2013,0,30.3,19
Kyle McPherson,PIT,AAA,SP,R,25,2013,20,631.6,137
Tim Saunders,CHC,A+,IF,R,23,2013,542,0,148
