Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Dylan Shockley,PIT,HS,C,R,20,2017,0,0,0
Steven Wilson,SD,Coll,SP,R,22,2017,0,216,38
Bryan Pall,SEA,Coll,RP,R,21,2017,1,79.3,60
Kervin Castro,SF,Rk,RP,R,18,2017,0,21,13
Jasier Herrera,SF,Rk,RP,R,19,2017,0,33.6,27
Jesus Reyes,SF,Rk,SP,R,20,2017,9,281.3,68
Rafael Martinez,SF,HS,RP,R,17,2017,0,0,0
Kwang Hyun Kim,STL,AAA,SP,L,28,2017,2,1347.6,242
Glen Richardson,TEX,HS,RP,R,18,2017,0,0,0
John King,TEX,HS,SP,L,22,2017,0,0,0
Joseph Jarneski,TEX,Rk,RP,R,17,2017,0,6,8
Daniel Robert,TEX,Coll,1B,R,22,2017,653,15.3,196
