Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Dusty Hughes,KC,A+,SP,R,23,2005,0,303,56
Taylor Teagarden,TEX,A-,C,R,21,2005,198,0,60
Al Reyes,STL,MLB,RP,R,35,2005,26,901.3,690
Mike Hampton,ATL,MLB,SP,L,32,2005,664,2545.6,460
Cesar Izturis,LAD,MLB,SS,R,25,2005,4202,0,1154
Jorge Campillo,SEA,MLB,SP,R,26,2005,0,79.3,18
Erubiel Durazo,OAK,MLB,1B,L,31,2005,1948,0,624
Kyle McClellan,STL,A,SP,R,21,2005,0,261.6,60
Philip Humber,NYM,AA,SP,R,22,2005,0,74.3,15
J.D. Martin,CLE,AA,SP,R,22,2005,0,479.6,89
John Parrish,BAL,AA,SP,L,27,2005,0,629,157
Derek Thompson,LAD,MLB,SP,L,24,2005,45,402.6,79
Randy Wolf,PHI,MLB,SP,L,28,2005,379,1432.6,234
Matt Riley,TEX,Rk,SP,L,25,2005,3,745.6,155
Ben Davis,CHW,AAA,C,R,28,2005,1512,0,486
T.J. Tucker,WAS,MLB,RP,R,26,2005,81,719.6,292
Anthony Varvaro,SEA,Coll,RP,R,20,2005,0,11,5
Kyle Sleeth,DET,AA,SP,R,23,2005,0,148,24
Octavio Dotel,OAK,MLB,RP,R,31,2005,91,1151,483
Bobby Korecky,TOR,AA,RP,R,25,2005,0,190,121
Ryan Bukvich,TEX,MLB,RP,R,27,2005,0,278.6,222
Grant Balfour,MIN,MLB,SP,R,27,2005,0,602,260
Andrew Bailey,OAK,Coll,SP,R,21,2005,0,58,10
Frank Francisco,TEX,MLB,RP,R,25,2005,0,406,170
Kris Johnson,BOS,Coll,RP,L,20,2005,0,30.6,14
Tony Alvarez,CHW,AAA,OF,R,26,2005,2719,0,746
Francis Beltran,WAS,MLB,RP,R,25,2005,11,418.6,251
Rocco Baldelli,TB,MLB,OF,R,23,2005,1202,0,292
Jason Berken,BAL,Coll,SP,R,21,2005,0,45,8
Phil Seibel,BOS,AAA,SP,L,26,2005,33,459.3,101
Miguel Socolovich,BOS,HS,SP,R,18,2005,0,0,0
Al Alburquerque,CHC,HS,RP,R,19,2005,0,0,0
Rocky Cherry,CHC,AA,SP,R,25,2005,3,217.3,48
Trace Coquillette,CHW,AAA,IF,R,21,2005,4028,0,1192
Paul Janish,CIN,A,SS,R,22,2005,413,0,121
Craig Tatum,CIN,A,C,R,22,2005,177,0,78
Luke Putkonen,DET,HS,SP,R,19,2005,0,0,0
Randor Bierd,DET,AA,SP,R,21,2005,0,133.3,29
Shane Loux,DET,AAA,SP,R,25,2005,0,1115.3,201
Michael Hacker,HOU,HS,RP,L,19,2005,0,0,0
Ryan Ketchner,LAD,AAA,SP,L,23,2005,32,477.6,114
Javy Guerra,LAD,A,SP,R,19,2005,0,92.6,22
Rick VandenHurk,MIA,A+,SP,R,20,2005,0,125.3,31
Ronald Belisario,MIA,AA,SP,R,22,2005,22,363.3,75
Chris Saenz,MIL,AA,SP,R,23,2005,32,345.6,100
Frank Mata,MIN,Rk,RP,R,21,2005,0,31.3,26
Harrison Bishop,PIT,HS,RP,R,20,2005,0,0,0
Nick DeBarr,TB,A+,SP,R,21,2005,0,271.3,68
Wade Townsend,TB,A-,RP,R,22,2005,0,39.3,12
Craig Gentry,TEX,Coll,OF,R,21,2005,221,0,56
Derek Tate,TOR,A+,RP,L,23,2005,0,50.3,17
