Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
John Farrell,CLE,MLB,SP,R,27,1991,0,1142,181
Stan Spencer,WAS,AA,SP,R,21,1991,0,92,17
Mike Witt,NYY,MLB,SP,R,30,1991,0,2213.6,402
Scott Garrelts,SF,MLB,RP,R,29,1991,288,1596,470
Scott Chiamparino,TEX,MLB,SP,R,24,1991,0,593,96
Darren Oliver,TEX,A+,SP,L,20,1991,0,192.6,42
Joe Magrane,STL,MLB,SP,L,26,1991,261,1084.3,162
Dion James,CLE,MLB,OF,L,28,1991,1999,0,645
Glenn Carter,LAA,AA,SP,R,23,1991,0,354.6,62
