Ken Dayley,STL,MLB,SP,L,27,1986,72,962,238
Gary Lavelle,TOR,MLB,RP,L,37,1986,295,1910,917
Tom Filer,TOR,MLB,SP,R,29,1986,27,977.3,183
Steve Christmas,CHC,MLB,C,R,28,1986,37,0,24
Jim Morris,MIL,A,SP,L,22,1986,0,255.3,57
