Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Anthony Young,CHC,MLB,SP,R,28,1994,151,979.6,222
Darryl Hamilton,MIL,MLB,OF,R,29,1994,1795,0,554
Frank Viola,BOS,MLB,SP,L,34,1994,179,2946.6,437
Tim Worrell,SD,MLB,SP,R,26,1994,81,652,113
Ken Patterson,LAA,MLB,RP,L,29,1994,2,674.3,349
Armando Reynoso,COL,MLB,SP,R,28,1994,132,619,106
Scott Eyre,CHW,A,SP,L,22,1994,0,336,60
Scott Schoeneweis,LAA,HS,RP,L,20,1994,0,0,0
Huck Flener,TOR,AAA,RP,L,25,1994,0,396,154
