Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Greg Wilborn,LAD,Coll,RP,L,20,2007,0,19.3,12
Casey Crosby,DET,HS,SP,L,18,2007,0,0,0
Samuel Deduno,COL,AA,SP,R,23,2007,18,447.3,85
Jake Brigham,TEX,A-,SP,R,19,2007,0,135.3,29
Danys Baez,BAL,MLB,RP,R,29,2007,3,725.3,441
Nick Schmidt,SD,A,RP,L,21,2007,0,7,3
Shin-Soo Choo,CLE,AAA,OF,L,24,2007,509,0,159
Tim Gustafson,ATL,A,SP,R,22,2007,0,111.3,22
Angel Guzman,CHC,Rk,SP,R,25,2007,67,566,120
Brian Ellington,MIA,HS,SP,R,16,2007,0,0,0
Russ Ortiz,SF,MLB,SP,R,33,2007,511,1917.3,345
Ambiorix Burgos,NYM,MLB,RP,R,23,2007,1,393.6,238
Willie Eyre,TEX,MLB,RP,R,28,2007,1,814,347
Andrew Brackman,NYY,Coll,SP,R,21,2007,0,140.6,37
Rodrigo Lopez,COL,MLB,SP,R,31,2007,105,1631.3,325
Chris Ray,BAL,MLB,RP,R,25,2007,0,348.3,209
Brendan Donnelly,BOS,MLB,RP,R,35,2007,13,905.6,700
Daniel Stange,ARI,AA,RP,R,21,2007,1,85,70
Chris Carpenter,STL,MLB,SP,R,32,2007,223,2113.3,352
Tony Sipp,CLE,AA,RP,L,23,2007,0,219.3,74
Alex Wilson,BOS,Coll,SP,R,20,2007,0,36,13
Rafael Dolis,CHC,A,SP,R,19,2007,0,55,19
Anthony Lerew,ATL,MLB,SP,R,24,2007,53,735.6,146
Eric Milton,CIN,MLB,SP,L,31,2007,197,1731.6,295
Vance Wilson,DET,MLB,C,R,27,2007,953,0,403
Carl Pavano,NYY,MLB,SP,R,31,2007,303,1719.6,295
Keith Hessler,ARI,HS,SP,L,18,2007,0,0,0
Dallas Buck,CIN,A+,SP,R,22,2007,0,97.6,16
Mike Jones,MIL,AA,SP,R,24,2007,31,380.6,79
Michael Gonzalez,ATL,MLB,RP,L,29,2007,31,766.6,337
Cesar Carrillo,SD,AAA,SP,R,23,2007,26,125.3,27
B.J. Ryan,TOR,MLB,RP,L,31,2007,2,587,579
Tip Fairchild,HOU,AA,SP,R,23,2007,2,238.6,51
Matt Hensley,LAA,AAA,SP,R,28,2007,1,620.6,167
Fernando Nieve,HOU,MLB,SP,R,24,2007,42,715.6,157
Humberto Sanchez,DET,AAA,SP,R,24,2007,1,454,88
Chris Denorfia,CIN,MLB,OF,R,26,2007,143,0,67
Brad Lincoln,PIT,A,SP,R,22,2007,0,23.6,6
Navery Moore,ATL,HS,RP,R,16,2007,0,0,0
Arthur Rhodes,PHI,MLB,RP,L,37,2007,4,1620,767
Edward Campusano,CHC,AA,RP,L,24,2007,1,157.6,93
Thomas Diamond,TEX,AA,SP,R,24,2007,0,325.6,67
Josh Kinney,STL,MLB,RP,R,28,2007,5,410.3,321
Adam Bernero,KC,MLB,SP,R,30,2007,35,989.3,258
Carlos Gutierrez,MIN,Coll,RP,R,20,2007,0,25.6,16
Bruce Chen,TEX,MLB,SP,L,30,2007,148,1582.3,396
Paul Bush,ATL,AA,RP,R,27,2007,30,379,158
Lee Hyde,ATL,A+,RP,L,22,2007,4,51,24
Caleb Clay,BOS,A-,RP,R,19,2007,0,21,5
Josh Smith,CIN,HS,RP,R,19,2007,0,0,0
Tyler Sturdevant,CLE,Coll,RP,R,21,2007,0,36,19
Ethan Katz,COL,A,RP,R,23,2007,0,154,80
Denny Stark,COL,AAA,SP,R,32,2007,122,980,203
P.J. Finigan,DET,AA,RP,R,24,2007,0,138.3,78
Eli Iorg,HOU,A+,OF,R,24,2007,1288,0,357
Andrew Triggs,KC,HS,RP,R,18,2007,0,0,0
Brian Akin,LAD,AAA,RP,R,25,2007,5,274,142
Jumbo Diaz,LAD,A,RP,R,23,2007,1,171,96
Wily Peralta,MIL,Rk,SP,R,18,2007,0,38,14
Erik Goeddel,NYM,HS,SP,R,18,2007,0,0,0
Ryota Igarashi,NYM,Coll,RP,R,28,2007,18,472.6,407
Hector Noesi,NYY,A,RP,R,20,2007,0,27,10
Hayden Hurst,PIT,HS,SP,R,13,2007,0,0,0
Kenn Kasparek,SEA,Coll,SP,R,21,2007,0,52,15
Matt Carpenter,STL,Coll,3B,R,21,2007,251,0,70
John Bannister,TEX,A+,SP,R,23,2007,0,352.6,78
