Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Ray Olmedo,CIN,MLB,SS,R,23,2004,2423,0,721
Jason Grimsley,BAL,MLB,RP,R,26,2004,92,2176,834
Shawn Hill,WAS,MLB,SP,R,23,2004,16,450.3,85
Clint Everts,WAS,A+,SP,R,19,2004,0,190.3,36
Rafael Soriano,SEA,MLB,SP,R,24,2004,231,567,142
Luis Gonzalez,ARI,MLB,OF,R,36,2004,8285,0,2365
Jason Stanford,CLE,MLB,SP,L,27,2004,0,633.6,111
Jim Hoey,BAL,A-,RP,R,21,2004,0,48.6,13
Mike Lincoln,STL,MLB,RP,R,29,2004,32,882.6,276
Jay Powell,TEX,MLB,RP,R,32,2004,14,765.6,607
Shane Komine,OAK,AA,SP,R,23,2004,0,277.6,62
Nick Adenhart,LAA,HS,RP,R,17,2004,0,0,0
Jason Shiell,BOS,AAA,RP,R,27,2004,12,620.3,238
Dustin McGowan,TOR,AA,SP,R,22,2004,0,423.6,85
Aaron Looper,SEA,AAA,RP,R,27,2004,0,478.3,276
Fernando Rodney,DET,MLB,RP,R,27,2004,0,312.6,195
Jorge De Paula,NYY,MLB,SP,R,25,2004,0,813,149
Pedro Beato,BAL,HS,RP,R,17,2004,0,0,0
Brian Duensing,MIN,Coll,RP,L,21,2004,0,50.3,12
Miguel Asencio,KC,MLB,SP,R,23,2004,2,438.6,92
Cory Sullivan,COL,AA,CF,L,24,2004,1375,0,340
Corwin Malone,CHW,AA,SP,L,23,2004,0,461,114
Chris Spurling,DET,MLB,RP,R,27,2004,17,477.6,257
Scott Maine,ARI,HS,RP,L,19,2004,0,0,0
Dustin Nippert,ARI,AA,SP,R,23,2004,9,222,48
Jo-Jo Reyes,ATL,A,SP,L,19,2004,0,119.6,26
Billy Simon,BOS,A,SP,R,21,2004,0,50.3,15
Brett Gray,CIN,AA,RP,R,27,2004,17,356.3,135
Phil Dumatrait,CIN,A+,SP,L,22,2004,0,335.6,70
Mark Rodrigues,CLE,HS,SP,R,20,2004,0,0,0
Preston Larrison,DET,AA,SP,R,23,2004,0,417.6,76
Joe Torres,LAA,A+,SP,L,21,2004,0,277,60
Hyun-Jin Ryu,LAA,HS,SP,L,17,2004,0,0,0
Arismendy Castillo,LAD,HS,SP,R,19,2004,0,0,0
Mike Megrew,LAD,A+,SP,L,20,2004,0,195.6,41
Lincoln Holdzkom,MIA,A+,RP,R,22,2004,0,147,98
Tim Wood,MIA,A,RP,R,21,2004,0,109,40
Zach Braddock,MIL,HS,RP,L,16,2004,0,0,0
Angel Garcia,MIN,A,RP,R,20,2004,0,126,42
Jeff Manship,MIN,HS,SP,R,19,2004,0,0,0
Dustin Molleken,PIT,Rk,RP,R,19,2004,0,6.3,3
Brandon Gomes,SD,HS,RP,R,19,2004,0,0,0
Kevin Ohme,STL,AAA,RP,L,33,2004,15,628.6,366
