Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Colin Rea,SD,MLB,SP,R,25,2016,51,618,150
Bryan Harper,WAS,AAA,RP,L,26,2016,4,233,190
Andre Jackson,LAD,Coll,OF,R,20,2016,281,28.3,128
Miguel Yajure,NYY,Rk,SP,R,18,2016,0,88.3,23
Yimi Garcia,LAD,AA,RP,R,25,2016,4,403.6,285
Ryan Cook,SEA,Rk,RP,R,29,2016,9,622,362
J.B. Wendelken,OAK,MLB,RP,R,23,2016,0,363.6,162
Josh Prevost,NYM,A+,SP,R,24,2016,0,372.6,85
Andro Cutura,MIN,A,SP,R,22,2016,0,347.6,63
Zach Duke,STL,MLB,SP,L,33,2016,360,1949.6,580
Erik Johnson,SD,MLB,SP,R,26,2016,7,642,116
Anthony Kay,NYM,Coll,SP,L,21,2016,0,333.3,69
Chuck Weaver,MIA,A,SP,R,25,2016,0,396.3,70
Cesar Gonzalez,DET,Rk,OF,R,21,2016,587,0,172
Doug Willey,LAA,Rk,RP,R,24,2016,1,146.6,102
Raymond Burgos,CLE,HS,SP,L,17,2016,0,0,0
Scott Engler,TEX,Rk,RP,R,19,2016,0,7,4
Brooks Kriske,NYY,A-,RP,R,22,2016,0,136.6,84
Jake Zokan,SEA,A+,SP,L,25,2016,0,365,113
Derek Hill,DET,A,OF,R,20,2016,767,0,193
James Jones,TEX,A,RP,R,27,2016,0,220.6,158
Nathan Eovaldi,NYY,MLB,SP,R,26,2016,170,1103,221
Nick Tropeano,LAA,MLB,SP,L,25,2016,1,704,135
Chris Paddack,SD,A,SP,R,20,2016,0,87.6,20
Troy Rallings,LAA,Coll,RP,R,22,2016,0,193,94
Dalton Geekie,ATL,A,RP,R,21,2016,0,73.3,48
Jorge Ortega,MIL,AA,SP,R,23,2016,16,536.3,96
Sean Nolin,MIL,MLB,SP,L,26,2016,0,517,114
Stephen Ridings,CHC,HS,SP,R,20,2016,0,0,0
Dace Kime,CLE,A-,SP,R,24,2016,0,537,168
Kody Clemens,DET,Coll,SS,R,20,2016,215,0,57
Cre Finfrock,TOR,Coll,SP,R,20,2016,0,189.6,34
Andrew Lee,WAS,A,SP,R,22,2016,288,206.3,78
Hunter Harvey,BAL,A-,SP,R,21,2016,0,125.6,30
Adrian Perez,LAD,HS,RP,R,18,2016,0,0,0
Adrian Houser,MIL,AA,SP,R,23,2016,25,457,103
Jon Moscot,CIN,AAA,SP,R,24,2016,61,481.3,95
Kyle Survance,LAA,Rk,OF,R,22,2016,900,0,246
Malcolm Van Buren,KC,HS,SP,R,18,2016,0,0,0
Matt Rowland,ATL,HS,SP,R,18,2016,0,0,0
Sam Hentges,CLE,A,SP,L,19,2016,0,129,35
Francisco Lopez,CLE,Rk,SP,R,21,2016,0,65.3,23
Chad Donato,HOU,Coll,SP,R,21,2016,0,196.3,34
Andrew Heaney,LAA,MLB,SP,L,25,2016,47,479,89
Chris Thomas,STL,AA,RP,R,28,2016,2,181,133
Jonas Wyatt,CLE,Rk,RP,R,18,2016,0,16.6,8
Tyler Benninghoff,MIN,HS,SP,R,18,2016,0,0,0
Adam Parks,TEX,AA,RP,R,23,2016,0,148.6,93
Carlos Luna,MIL,Rk,RP,R,19,2016,0,89,21
Ryan Williamson,WAS,Coll,SP,L,21,2016,0,155.3,49
Hever Bueno,TEX,Coll,RP,R,21,2016,0,93.6,54
Daniel Webb,CHW,MLB,RP,R,26,2016,0,408.6,226
Jose Garcia,NYM,HS,C,R,21,2016,0,0,0
Pedro Perez,NYM,A-,3B,R,21,2016,824,3,249
Martin Agosta,SF,A+,SP,R,25,2016,1,496,107
Logan Webb,SF,A,SP,R,19,2016,0,106.3,26
Justin Marsden,TB,Rk,RP,R,19,2016,0,14.3,6
Carson Smith,BOS,MLB,RP,R,26,2016,0,235,216
Alexis Diaz,CIN,Rk,RP,R,19,2016,0,13,9
Dante Biasi,KC,HS,SP,L,18,2016,0,0,0
Connor Lehmann,SD,Coll,SP,R,19,2016,0,59.6,23
Elliot Ashbeck,SD,A+,SP,R,22,2016,216,256,70
Wyatt Strahan,CIN,A+,SP,R,23,2016,0,441.6,96
Robbie Erlin,SD,MLB,SP,L,25,2016,91,723,151
Michael Gibbons,NYM,A+,SP,R,23,2016,0,69.3,12
Pablo Fernandez,LAD,A+,RP,R,26,2016,0,457.6,187
Tyler Cloyd,NYY,AAA,SP,R,29,2016,71,838.6,204
Chris Bassitt,OAK,MLB,SP,R,27,2016,2,530.6,138
Gray Fenter,BAL,Rk,SP,R,20,2016,0,21.6,9
Nic Enright,CLE,Coll,RP,R,19,2016,0,38,12
Jonathan Loaisiga,NYY,A,SP,R,21,2016,0,71,14
Dylan Brooks,SF,Rk,RP,R,20,2016,0,73.3,43
Ryan Brett,TB,AAA,2B,R,24,2016,1810,0,460
Cobi Johnson,TOR,Coll,RP,R,20,2016,1,79.3,38
Zach Plesac,CLE,Coll,SP,R,21,2016,105,250,55
Branden Pinder,NYY,MLB,RP,R,27,2016,1,282,186
Harrison Cooney,LAA,A+,SP,R,24,2016,0,453.6,140
Miguel Del Pozo,MIA,A+,RP,L,23,2016,0,223.6,117
Tarik Skubal,DET,Coll,SP,L,19,2016,0,126,25
Nick Rumbelow,NYY,AAA,RP,R,24,2016,0,149.6,117
Marco Gonzales,STL,AAA,SP,L,24,2016,37,263.3,58
Jon Wandling,TOR,A,SP,R,24,2016,102,161.3,39
Zach Becherer,ATL,HS,RP,R,21,2016,0,0,0
Jimmy Reed,STL,AA,SP,L,25,2016,7,559.6,125
