Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Caleb Frare,NYY,Rk,RP,L,21,2012,0,23,10
Shawn Haviland,OAK,AA,SP,R,26,2012,1,633.3,135
Scott Carroll,CHW,AAA,SP,R,27,2012,49,575.6,123
Matthew Grimes,BAL,Coll,SP,R,20,2012,0,124,27
Manny Banuelos,NYY,AAA,SP,L,21,2012,0,329.3,86
Austin Schuetzle,SEA,HS,OF,R,17,2012,0,0,0
Tim Melville,KC,A,SP,R,22,2012,0,384,84
Joe Broussard,LAD,Coll,RP,R,21,2012,4,86.6,41
Juan Oviedo,MIA,MLB,RP,R,30,2012,1,884.3,502
Shao-Ching Chiang,CLE,HS,SP,R,18,2012,0,0,0
Mitchell Traver,LAA,HS,SP,R,18,2012,0,0,0
Lucas Giolito,WAS,Rk,SP,R,17,2012,0,38.6,12
Lester Oliveros,MIN,AAA,RP,R,24,2012,0,349,232
Carl Crawford,BOS,MLB,OF,L,30,2012,5615,0,1396
Josh Tomlin,CLE,MLB,SP,R,27,2012,7,809,193
Matt West,TEX,A+,3B,R,23,2012,1205,47.3,502
Drew Hutchison,TOR,MLB,SP,R,21,2012,2,293.3,57
Alex Wimmers,MIN,Rk,SP,R,23,2012,0,62.3,19
Neftali Feliz,TEX,MLB,RP,R,24,2012,2,489,245
David Perez,TEX,A-,SP,R,19,2012,0,109.3,30
Artie Lewicki,DET,Coll,SP,R,20,2012,0,87,25
John Curtiss,MIN,Coll,RP,R,19,2012,0,64,28
Joe Wieland,SD,MLB,SP,R,22,2012,15,465.6,91
Eric Surkamp,SF,MLB,SP,L,24,2012,22,424.6,77
Brandon Bailey,OAK,HS,SP,R,17,2012,0,0,0
Todd Coffey,LAD,MLB,RP,R,31,2012,13,809,693
Luis Perez,TOR,MLB,SP,L,27,2012,0,772,194
Matt Maloney,MIN,AAA,SP,L,28,2012,113,1005.3,190
Kevin Taylor,NYM,A,2B,R,20,2012,188,0,53
Steven Moya,DET,A,OF,R,20,2012,994,0,245
Felipe Paulino,KC,MLB,SP,R,28,2012,72,789,200
Reid Humphreys,COL,HS,RP,R,17,2012,0,0,0
Chang-Yong Lim,CHC,Rk,RP,R,36,2012,8,1704.6,786
Greg Billo,KC,A+,SP,R,21,2012,0,342.3,76
Jeff Brigham,LAD,Coll,RP,R,20,2012,0,84.6,34
