Player,Team,Level,Position,Throws,Age,Year,AB Before Surgery,IP Before Surgery,G Before Surgery
Travis MacGregor,PIT,A,SP,R,20,2018,0,143.6,38
Phil Coke,DET,MLB,RP,L,26,2018,3,421,407
Seth Romero,WAS,A,SP,L,22,2018,0,47.3,14
Francis Martes,HOU,Rk,SP,R,22,2018,0,428,113
Isaiah Carranza,CHW,Coll,SP,R,21,2018,0,185,49
Drake Owenby,MIL,Rk,RP,L,24,2018,0,282,111
Jacob Barnwell,COL,Rk,C,R,20,2018,422,0,136
Dustin Hunt,LAA,A+,SP,R,23,2018,0,377.3,91
Yasel Antuna,WAS,A,SS,R,18,2018,496,0,135
Johnny Cueto,SF,MLB,SP,R,32,2018,512,2040.3,288
Jairo Solis,HOU,A,SP,R,18,2018,0,112,28
Daniel Gossett,OAK,MLB,SP,R,25,2018,5,553,110
Boomer Biegalski,OAK,A+,SP,R,23,2018,0,353.3,87
Brent Suter,MIL,MLB,SP,L,28,2018,99,819.6,185
Kendall Graveman,OAK,AAA,SP,R,27,2018,5,432,83
Garrett Richards,LAA,MLB,SP,R,30,2018,14,745.6,170
Austin Franklin,TB,A,SP,R,20,2018,0,194.6,40
Graham Lawson,CHC,Coll,RP,R,22,2018,0,50.3,35
Cam Hill,CLE,AAA,RP,R,24,2018,0,266.3,157
Kyle Cody,TEX,Rk,SP,R,23,2018,0,178.3,37
Micker Adolfo,CHW,A+,OF,R,21,2018,1160,0,312
John Lamb,LAA,MLB,SP,L,27,2018,38,897.6,184
Sam Carlson,SEA,Rk,SP,R,19,2018,0,3,2
Brandon Leibrandt,PHI,AAA,SP,L,25,2018,0,400.3,86
Kyri Washington,BOS,A-,OF,R,23,2018,1365,0,380
Brandon Koch,TB,A+,RP,R,24,2018,0,155.3,109
Mitchell Kilkenny,COL,Coll,SP,R,21,2018,0,212.3,62
Alex Speas,TEX,A,RP,R,20,2018,0,70.6,40
Patrick Riehl,CIN,A,RP,R,24,2018,0,144.2,80
Chris Mathewson,LAD,A+,SP,R,23,2018,11,342.3,70
