Player,TJ Surgery Date,Back to Playing?,Years Between,Surgeon
Josh Rogers,7/3/2019,Not yet,6,
Josh Rogers,4/1/2013,,,Dr. Timothy Kremchek
Justin Topa,4/29/2015,Back,4,
Justin Topa,1/1/2011,,,Unknown
Keaton McKinney,4/20/2018,Not back,1,
Keaton McKinney,2/10/2017,,,Unknown
Kris Medlen,3/18/2014,Back,4,
Kris Medlen,8/18/2010,,,Dr. James Andrews
Kyle Drabek,6/19/2012,Back,5,
Kyle Drabek,7/25/2007,,,Dr. David Altchek
Kyle Molnar,1/1/2018,Not yet,2,
Kyle Molnar,6/1/2016,,,Unknown
Lance Carter,1/1/2000,Back,4,
Lance Carter,1/1/1996,,,Unknown
Leandro Marin,1/1/2010,Back,4,
Leandro Marin,1/1/2006,,,Unknown
Luke Scherzer,2/24/2017,Back,1,
Luke Scherzer,3/1/2016,,,Unknown
Mason Hope,10/21/2015,Not back,2,
Mason Hope,4/1/2014,,,Unknown
Mason Tobin,6/2/2011,Back,2,
Mason Tobin,4/30/2009,,,Unknown
Matt Beech,9/21/1999,Not back,1,
Matt Beech,9/11/1998,,,Dr. Lewis Yocum
Matt Bush,7/1/2019,Not yet,13,
Matt Bush,1/1/2007,,,Unknown
Matt Riley,7/1/2005,Not back,5,
Matt Riley,9/1/2000,,,Unknown
Michael Smith,7/15/2015,Not back,7,
Michael Smith,1/1/2009,,,Unknown
Mike Clevinger,11/17/2020,Not yet,8,
Mike Clevinger,8/1/2012,,,Unknown
Mike Lincoln,7/13/2005,Back,1,
Mike Lincoln,7/13/2004,,,Dr. George Paletta
Nate Bland,1/1/2001,Back,2,
Nate Bland,1/1/1999,,,Unknown
Nathan Eovaldi,8/19/2016,Back,9,
Nathan Eovaldi,5/27/2007,,,Unknown
Nick Burdi,10/14/2020,Not yet,3,
Nick Burdi,5/31/2017,,,Dr. Keith Meister
Nick Vander Tuig,6/24/2015,Not back,6,
Nick Vander Tuig,1/1/2009,,,Dr. Lewis Yocum
Pedro Figueroa,4/30/2014,Not back,4,
Pedro Figueroa,1/1/2010,,,Unknown
Peter Fairbanks,8/14/2017,Back,7,
Peter Fairbanks,1/1/2011,,,Unknown
Peter Moylan,4/1/2014,Back,6,
Peter Moylan,5/8/2008,,,Dr. James Andrews
Preston Gainey,6/14/2019,Not yet,1,
Preston Gainey,3/20/2018,,,Dr. William Raasch
Quintin Torres-Costa,9/13/2018,Not yet,5,
Quintin Torres-Costa,5/6/2013,,,Dr. Darryl Kan
Randy LeBlanc,1/1/2018,Not yet,7,
Randy LeBlanc,3/1/2011,,,Unknown
Randy Wolf,10/30/2012,Back,7,
Randy Wolf,7/1/2005,,,Dr. Lewis Yocum
Rob Wooten,5/23/2017,Back,7,
Rob Wooten,4/8/2010,,,Unknown
Rubby De La Rosa,8/22/2017,Not yet,6,
Rubby De La Rosa,8/9/2011,,,Dr. James Andrews
Sam Freeman,8/19/2020,Not yet,10,
Sam Freeman,3/10/2010,,,Unknown
Sam Tewes,7/1/2019,Not yet,3,
Sam Tewes,3/31/2016,,,Dr. James Andrews
Scott Mathieson,5/1/2008,Back,2,
Scott Mathieson,9/29/2006,,,Dr. Lewis Yocum
Scott Williamson,10/30/2004,Back,4,
Scott Williamson,4/12/2001,,,Dr. James Andrews
Sean Burnett,6/5/2014,Back,10,
Sean Burnett,9/22/2004,,,Unknown
Shane Loux,6/12/2013,Back,8,
Shane Loux,1/1/2005,,,Unknown
Shawn Hill,6/30/2009,Back,5,
Shawn Hill,9/8/2004,,,Dr. James Andrews
Shawn Kelley,9/1/2010,Back,8,
Shawn Kelley,1/1/2003,,,Unknown
Steve Ontiveros,6/13/1996,Back,7,
Steve Ontiveros,7/20/1989,,,Dr. Frank Jobe
Taylor Jordan,5/26/2016,Not yet,5,
Taylor Jordan,9/7/2011,,,Unknown
Tim Collins,4/15/2016,Back,1,
Tim Collins,3/11/2015,,,Dr. James Andrews
Tim Spooneybarger,8/1/2005,Not back,2,
Tim Spooneybarger,9/9/2003,,,Dr. James Andrews
Todd Coffey,7/18/2012,Not back,13,
Todd Coffey,8/1/1999,,,Unknown
Trevor Bettencourt,6/1/2019,Not yet,5,
Trevor Bettencourt,1/1/2014,,,Unknown
Ty Hensley,1/1/2016,Not yet,1,
Ty Hensley,3/31/2015,,,Dr. James Andrews
Tyler Chatwood,7/23/2014,Back,9,
Tyler Chatwood,1/1/2006,,,Unknown
Tyler Yates,7/14/2009,Not back,7,
Tyler Yates,6/19/2002,,,Unknown
Vance Wilson,6/25/2008,Not back,1,
Vance Wilson,6/13/2007,,,Dr. David Altchek
Victor Zambrano,5/15/2006,Back,10,
Victor Zambrano,1/1/1996,,,Unknown
Will Remillard,3/1/2016,Back,1,
Will Remillard,3/25/2015,,,Unknown
Xavier Nady,7/1/2009,Back,9,
Xavier Nady,1/1/2001,,,Dr. Lewis Yocum
Yosmer Leal,6/6/2017,Not back,2,
Yosmer Leal,5/28/2015,,,Unknown
